s,x,y,tx,ty
0.000000,-12.126502,13.279609,-1.000000,0.000000
0.042950,-12.169452,13.279609,-1.000000,0.000000
0.085900,-12.212402,13.279609,-1.000000,-0.000000
0.128850,-12.255352,13.279609,-1.000000,0.000000
0.171800,-12.298302,13.279609,-1.000000,0.000000
0.214750,-12.341252,13.279609,-1.000000,-0.000000
0.257700,-12.384202,13.279609,-1.000000,0.000000
0.300650,-12.427152,13.279609,-1.000000,0.000000
0.343600,-12.470102,13.279609,-0.948683,0.316228
0.404340,-12.513052,13.322559,-0.948683,0.316228
0.447290,-12.556002,13.322559,-1.000000,0.000000
0.490240,-12.598952,13.322559,-1.000000,0.000000
0.533190,-12.641902,13.322559,-0.948683,0.316228
0.593931,-12.684852,13.365509,-0.948683,0.316228
0.636881,-12.727802,13.365509,-1.000000,0.000000
0.679831,-12.770752,13.365509,-1.000000,0.000000
0.722781,-12.813702,13.365509,-0.948683,0.316228
0.783521,-12.856652,13.408459,-0.948683,0.316228
0.826471,-12.899602,13.408459,-1.000000,0.000000
0.869421,-12.942552,13.408459,-1.000000,-0.000000
0.912371,-12.985502,13.408459,-0.948683,0.316228
0.973112,-13.028452,13.451409,-0.948683,0.316228
1.016062,-13.071402,13.451409,-1.000000,0.000000
1.059012,-13.114352,13.451409,-1.000000,0.000000
1.101962,-13.157302,13.451409,-1.000000,0.000000
1.144912,-13.200252,13.451409,-1.000000,0.000000
1.187862,-13.243202,13.451409,-0.948683,0.316228
1.248602,-13.286152,13.494359,-0.948683,0.316228
1.291552,-13.329102,13.494359,-1.000000,-0.000000
1.334502,-13.372052,13.494359,-1.000000,0.000000
1.377452,-13.415002,13.494359,-1.000000,0.000000
1.420402,-13.457952,13.494359,-1.000000,-0.000000
1.463352,-13.500902,13.494359,-1.000000,0.000000
1.506302,-13.543852,13.494359,-1.000000,0.000000
1.549252,-13.586802,13.494359,-0.948683,0.316228
1.609993,-13.629752,13.537309,-0.948683,0.316228
1.652943,-13.672702,13.537309,-1.000000,0.000000
1.695893,-13.715652,13.537309,-1.000000,0.000000
1.738843,-13.758602,13.537309,-1.000000,0.000000
1.781793,-13.801552,13.537309,-1.000000,0.000000
1.824743,-13.844502,13.537309,-1.000000,0.000000
1.867693,-13.887452,13.537309,-0.948683,0.316228
1.928433,-13.930402,13.580259,-0.948683,0.316228
1.971383,-13.973352,13.580259,-1.000000,0.000000
2.014333,-14.016302,13.580259,-1.000000,-0.000000
2.057283,-14.059252,13.580259,-1.000000,0.000000
2.100233,-14.102202,13.580259,-1.000000,0.000000
2.143183,-14.145152,13.580259,-0.948683,0.316228
2.203924,-14.188102,13.623209,-0.948683,0.316228
2.246874,-14.231052,13.623209,-1.000000,0.000000
2.289824,-14.274002,13.623209,-1.000000,0.000000
2.332774,-14.316952,13.623209,-1.000000,0.000000
2.375724,-14.359902,13.623209,-1.000000,0.000000
2.418674,-14.402852,13.623209,-0.948683,0.316228
2.479414,-14.445802,13.666159,-0.948683,0.316228
2.522364,-14.488752,13.666159,-1.000000,0.000000
2.565314,-14.531702,13.666159,-1.000000,0.000000
2.608264,-14.574652,13.666159,-1.000000,0.000000
