s,x,y,tx,ty
0.000000,8.620000,11.860000,-0.707107,0.707107
0.028284,8.600000,11.880000,-0.707107,0.707107
0.056569,8.580000,11.900000,-0.707107,0.707107
0.084853,8.560000,11.920000,-0.707107,0.707107
0.113137,8.540000,11.940000,-0.707107,0.707107
0.141421,8.520000,11.960000,-0.707107,0.707107
0.169706,8.500000,11.980000,-0.707107,0.707107
0.197990,8.480000,12.000000,-0.707107,0.707107
0.226274,8.460000,12.020000,-0.707107,0.707107
0.254558,8.440000,12.040000,-0.707107,0.707107
0.282843,8.420000,12.060000,-0.707107,0.707107
0.311127,8.400000,12.080000,-0.707107,0.707107
0.339411,8.380000,12.100000,-0.707107,0.707107
0.367696,8.360000,12.120000,-0.707107,0.707107
0.395980,8.340000,12.140000,-0.707107,0.707107
0.424264,8.320000,12.160000,-0.707107,0.707107
0.452548,8.300000,12.180000,-0.707107,0.707107
0.480833,8.280000,12.200000,-0.707107,0.707107
0.509117,8.260000,12.220000,-0.707107,0.707107
0.537401,8.240000,12.240000,-0.707107,0.707107
0.565685,8.220000,12.260000,-0.707107,0.707107
0.593970,8.200000,12.280000,-0.707107,0.707107
0.622254,8.180000,12.300000,-0.707107,0.707107
0.650538,8.160000,12.320000,-0.707107,0.707107
0.678823,8.140000,12.340000,-0.707107,0.707107
0.707107,8.120000,12.360000,-0.707107,0.707107
0.735391,8.100000,12.380000,-0.707107,0.707107
0.763675,8.080000,12.400000,-0.707107,0.707107
0.791960,8.060000,12.420000,-0.948683,0.316228
0.811960,8.040000,12.420000,-0.948683,0.316228
0.840244,8.020000,12.440000,-0.948683,0.316228
0.860244,8.000000,12.440000,-0.948683,0.316228
0.888528,7.980000,12.460000,-0.948683,0.316228
0.908528,7.960000,12.460000,-1.000000,0.000000
0.928528,7.940000,12.460000,-0.948683,0.316228
0.956812,7.920000,12.480000,-0.948683,0.316228
0.976812,7.900000,12.480000,-0.948683,0.316228
1.005097,7.880000,12.500000,-0.948683,0.316228
1.025097,7.860000,12.500000,-0.948683,0.316228
1.053381,7.840000,12.520000,-0.948683,0.316228
1.073381,7.820000,12.520000,-0.948683,0.316228
1.101665,7.800000,12.540000,-0.948683,0.316228
1.121665,7.780000,12.540000,-0.948683,0.316228
1.149949,7.760000,12.560000,-0.948683,0.316228
1.169949,7.740000,12.560000,-1.000000,-0.000000
1.189949,7.720000,12.560000,-1.000000,0.000000
1.209949,7.700000,12.560000,-0.948683,0.316228
1.238234,7.680000,12.580000,-0.948683,0.316228
1.258234,7.660000,12.580000,-0.948683,0.316228
1.286518,7.640000,12.600000,-0.948683,0.316228
1.306518,7.620000,12.600000,-1.000000,0.000000
1.326518,7.600000,12.600000,-1.000000,0.000000
1.346518,7.580000,12.600000,-1.000000,-0.000000
1.366518,7.560000,12.600000,-0.948683,0.316228
1.394802,7.540000,12.620000,-0.948683,0.316228
1.414802,7.520000,12.620000,-1.000000,0.000000
1.434802,7.500000,12.620000,-1.000000,0.000000
1.454802,7.480000,12.620000,-0.948683,0.316228
1.483087,7.460000,12.640000,-0.948683,0.316228
1.503087,7.440000,12.640000,-1.000000,0.000000
1.523087,7.420000,12.640000,-1.000000,0.000000
1.543087,7.400000,12.640000,-0.948683,0.316228
1.571371,7.380000,12.660000,-0.948683,0.316228
1.591371,7.360000,12.660000,-1.000000,0.000000
1.611371,7.340000,12.660000,-1.000000,0.000000
1.631371,7.320000,12.660000,-1.000000,0.000000
1.651371,7.300000,12.660000,-0.948683,0.316228
1.679655,7.280000,12.680000,-0.948683,0.316228
1.699655,7.260000,12.680000,-1.000000,0.000000
1.719655,7.240000,12.680000,-1.000000,-0.000000
1.739655,7.220000,12.680000,-1.000000,0.000000
1.759655,7.200000,12.680000,-1.000000,0.000000
1.779655,7.180000,12.680000,-1.000000,0.000000
1.799655,7.160000,12.680000,-1.000000,-0.000000
1.819655,7.140000,12.680000,-1.000000,0.000000
1.839655,7.120000,12.680000,-1.000000,0.000000
1.859655,7.100000,12.680000,-1.000000,0.000000
1.879655,7.080000,12.680000,-0.948683,0.316228
1.907939,7.060000,12.700000,-0.948683,0.316228
1.927939,7.040000,12.700000,-1.000000,0.000000
1.947939,7.020000,12.700000,-1.000000,0.000000
1.967939,7.000000,12.700000,-1.000000,0.000000
1.987939,6.980000,12.700000,-1.000000,-0.000000
2.007939,6.960000,12.700000,-1.000000,0.000000
2.027939,6.940000,12.700000,-1.000000,0.000000
2.047939,6.920000,12.700000,-1.000000,0.000000
2.067939,6.900000,12.700000,-1.000000,-0.000000
2.087939,6.880000,12.700000,-1.000000,0.000000
2.107939,6.860000,12.700000,-0.948683,0.316228
2.136224,6.840000,12.720000,-0.948683,0.316228
2.156224,6.820000,12.720000,-1.000000,-0.000000
2.176224,6.800000,12.720000,-1.000000,0.000000
2.196224,6.780000,12.720000,-1.000000,0.000000
2.216224,6.760000,12.720000,-1.000000,0.000000
2.236224,6.740000,12.720000,-1.000000,-0.000000
2.256224,6.720000,12.720000,-1.000000,0.000000
2.276224,6.700000,12.720000,-1.000000,0.000000
2.296224,6.680000,12.720000,-1.000000,0.000000
2.316224,6.660000,12.720000,-0.948683,0.316228
2.344508,6.640000,12.740000,-0.948683,0.316228
2.364508,6.620000,12.740000,-1.000000,0.000000
2.384508,6.600000,12.740000,-1.000000,0.000000
2.404508,6.580000,12.740000,-1.000000,0.000000
2.424508,6.560000,12.740000,-1.000000,0.000000
2.444508,6.540000,12.740000,-1.000000,0.000000
2.464508,6.520000,12.740000,-1.000000,0.000000
2.484508,6.500000,12.740000,-1.000000,0.000000
2.504508,6.480000,12.740000,-1.000000,0.000000
2.524508,6.460000,12.740000,-1.000000,0.000000
2.544508,6.440000,12.740000,-0.948683,0.316228
2.572792,6.420000,12.760000,-0.948683,0.316228
2.592792,6.400000,12.760000,-1.000000,0.000000
2.612792,6.380000,12.760000,-1.000000,0.000000
2.632792,6.360000,12.760000,-1.000000,0.000000
2.652792,6.340000,12.760000,-1.000000,0.000000
2.672792,6.320000,12.760000,-1.000000,0.000000
2.692792,6.300000,12.760000,-1.000000,0.000000
2.712792,6.280000,12.760000,-1.000000,0.000000
2.732792,6.260000,12.760000,-1.000000,0.000000
2.752792,6.240000,12.760000,-1.000000,0.000000
